Bandgap (eV),Voc (V),Jsc (mA/cm^2),FF (%),PCE (%),J0 (mA/cm^2)
0.546,0.348708230474,65.0499419501,74.778470194,16.9623370093,9.01996980868e-05
0.547,0.349598209942,64.9999727586,74.8222826367,17.0025213221,8.7080381433e-05
0.548,0.350488000699,64.9491742937,74.8655431918,17.0423220622,8.40684287929e-05
0.549,0.35137800422,64.8985577823,74.908272736,17.0820268656,8.11601642005e-05
0.55,0.352268187737,64.8480420142,74.9504730525,17.1216127915,7.83520368091e-05
0.551,0.353157966553,64.7961626495,74.992116814,17.1606568497,7.56406166603e-05
0.552,0.354047541392,64.7434270505,75.0345067344,17.1995980967,7.30225905957e-05
0.553,0.354937292925,64.6907912751,75.077189247,17.2386043068,7.0494758306e-05
0.554,0.355826946383,64.6375694668,75.1193391478,17.2772894759,6.80540285117e-05
0.555,0.356716491362,64.5837384666,75.16095761,17.315644989,6.56974152737e-05
0.556,0.357605970768,64.5294082726,75.2020483701,17.3537011537,6.34220344261e-05
0.557,0.358495555079,64.475006696,75.2426220503,17.3915821544,6.12251001302e-05
0.558,0.359385245753,64.4205389192,75.2847007031,17.4297567206,5.9103921544e-05
0.559,0.360274944194,64.3657609859,75.3263097427,17.4676973871,5.70558996031e-05
0.56,0.361164893006,64.3112785625,75.367417205,17.505571937,5.50785239106e-05
0.561,0.362054824135,64.256425979,75.4080135949,17.5431834622,5.31693697313e-05
0.562,0.362945169922,64.2022792162,75.4481223302,17.5808514039,5.13260950874e-05
0.563,0.363836675518,64.1506868553,75.488385038,17.619270366,4.95464379513e-05
0.564,0.364728719131,64.1001023048,75.5295773725,17.6581718362,4.78282135334e-05
0.565,0.365620115215,64.0475872548,75.5702483428,17.6963502197,4.61693116617e-05
0.566,0.366510968479,63.9934069468,75.6104014885,17.7338794754,4.45676942484e-05
0.567,0.367402434004,63.9404237313,75.6500907983,17.7716189503,4.30213928433e-05
0.568,0.368294383725,63.8883194417,75.6893150074,17.8094757439,4.15285062688e-05
0.569,0.369185851594,63.8347077619,75.7291065055,17.846980799,4.00871983348e-05
0.57,0.370077114113,63.7802759231,75.7692931531,17.8842963742,3.86956956311e-05
0.571,0.370968635348,63.7261712306,75.8090094714,17.9215612453,3.73522853935e-05
0.572,0.371860534936,63.672688782,75.8482640176,17.9588666096,3.60553134429e-05
0.573,0.372753169652,63.6207062678,75.8870772128,17.9964837011,3.4803182193e-05
0.574,0.37364548378,63.5676253076,75.9254033698,18.0336166346,3.35943487261e-05
0.575,0.374537123658,63.5125810072,75.9646835144,18.0703417271,3.24273229331e-05
0.576,0.375428867517,63.4574899691,76.0039640751,18.1070123242,3.13006657174e-05
0.577,0.37632072907,63.4023871767,76.0427829159,18.1435285975,3.02129872583e-05
0.578,0.377212250362,63.3461517408,76.0811219835,18.1795418348,2.91629453337e-05
0.579,0.378103383719,63.2886711887,76.1189791755,18.215013466,2.81492436999e-05
0.58,0.378994587574,63.2310714016,76.1563762357,18.2502920758,2.71706305254e-05
0.581,0.379886076291,63.1738777618,76.1951200988,18.2859728074,2.62258968784e-05
0.582,0.380777889889,63.1171880914,76.2335143379,18.3216805411,2.53138752648e-05
0.583,0.381670060591,63.0610808399,76.2714698079,18.3574189571,2.44334382163e-05
0.584,0.382562663529,63.0057387635,76.3089931821,18.3932474759,2.35834969259e-05
0.585,0.383455655577,62.9510560205,76.346086211,18.4291347638,2.27629999299e-05
0.586,0.384348559369,62.8958706698,76.382891703,18.4647523346,2.19709318344e-05
0.587,0.38524134463,62.8401116161,76.4209244927,18.5004428778,2.12063120846e-05
0.588,0.386134408691,62.7847465114,76.4585281255,18.5361093192,2.04681937768e-05
0.589,0.387027414561,62.7289577763,76.4956914838,18.5714911408,1.97556625096e-05
0.59,0.387920892263,62.6740326447,76.532438781,18.6070001992,1.90678352744e-05
0.591,0.388815284822,62.6210431212,76.5687935958,18.6429841961,1.84038593842e-05
0.592,0.38970976103,62.5679736811,76.6050074723,18.6788671442,1.77629114375e-05
0.593,0.390604245836,62.514644169,76.6422966962,18.7148880591,1.71441963185e-05
0.594,0.391499270321,62.4623395355,76.6791836522,18.7510971675,1.65469462305e-05
0.595,0.392394985176,62.411422116,76.7156784666,18.7876152313,1.59704197628e-05
0.596,0.393290985985,62.3609140744,76.7517686718,18.8241275658,1.54139009881e-05
0.597,0.394187706105,62.3118600337,76.7874760531,18.8609769193,1.48766985922e-05
0.598,0.395086154062,62.266686724,76.823053188,18.899013289,1.4358145032e-05
0.599,0.395986658542,62.2261779242,76.8598123512,18.9388236591,1.38575957223e-05
0.6,0.396888681313,62.1890308099,76.8962348054,18.9796228189,1.3374428251e-05
0.601,0.397791082669,62.1525002917,76.9322832681,19.0205149052,1.290804162e-05
0.602,0.398693032984,62.114592937,76.9679267713,19.0608418724,1.24578555126e-05
0.603,0.399595836369,62.0784437713,77.003220361,19.1016403497,1.20233095856e-05
